,name,latitude,longitude,price,hostStart,propType
144,Kihei B&B Guava Suite,20.70864,-156.43666000000002,194.00,2011-08-16,Bed and breakfast
145,"LARGE ocean-view home: 4br/17bd/5ba, pool+jacuzzi",19.609560000000002,-155.96854,398.00,2011-08-18,House
146,SIMPLY AWESOME! 2BR NEWLY REMODELED HIGH END SUITE,21.28098,-157.8252,203.00,2011-08-10,Apartment
147,Volcano Artist Cottage,19.43502,-155.22358,129.00,2011-08-18,Cabin
148,Kealakekua Bay at Manini Beach,19.47053,-155.92051999999998,225.00,2011-08-20,House
149,Lovely Ocean View Cottage  on Lush 10 acre estate,20.24323,-155.83506,100.00,2011-08-23,Cottage
150,Custom Home on 10 acres with sweeping ocean views,20.24386,-155.83461,330.00,2011-08-23,House
151,Hoshidana Studio 1 Ke'ei District,19.45906,-155.88178,95.00,2009-04-09,Bungalow
152,Zen Vacation retreat House near Kehena Beach,19.41065,-154.92146,65.00,2011-04-10,House
153,1 block to beach 3 Beds!,21.67999,-158.03187,169.00,2011-08-30,Guesthouse
154,Heart of Lahaina ~ Beautiful Aina Nalu C14 -,20.87506,-156.67633,259.00,2011-09-06,Condominium
155,Holualoa Awesome Views,19.67568,-155.96983999999998,115.00,2011-09-06,House
156,"Hale Ohia Cottages, Camellia",19.42708,-155.23201,149.00,2010-09-09,Bed and breakfast
157,Lahaina Condo,20.958460000000002,-156.6849,225.00,2011-04-30,Condominium
158,Romantic Maui Oceanfront Condo,20.79627,-156.50583999999998,169.00,2011-09-08,Condominium
159,Thanksgiving @ MAUI WESTIN KAANAPALI 11/23 - 11/30,20.93818,-156.6912,253.00,2011-09-12,Serviced apartment
160,Ka'awa Loa Plantation Guesthouse,19.48214,-155.90825,164.00,2010-07-05,Guesthouse
161,Condo in Hawaii - Big Island,19.91891,-155.88521,190.00,2011-09-15,House
162,Balinese Elegance Close to Beach,19.40296,-154.92768999999998,147.00,2011-09-15,Loft
163,Haleiwa -Slow Food /  Eco- Yoga B&B,21.580170000000003,-158.10863,125.00,2011-09-20,Bed and breakfast
164,Oceanfront Kona Reef Condo-60 feet to Ocean Waves,19.6287,-155.98778000000001,159.00,2011-09-21,Condominium
165,★ Sandy Beachfront Home ★ Fully Remodeled '17/18 ★,21.60677,-157.90846000000002,632.00,2011-09-23,House
166,House of Bonsai Vacation Rental,19.427410000000002,-155.22208,120.00,2011-09-17,House
167,Aloha Maui,20.759629999999998,-156.45838,134.00,2011-09-29,Condominium
168,UPSTAIRS & FRENCH DOORS +TILE/GRANITE KITCHEN BATH,19.63926,-155.97933,69.00,2011-03-24,Apartment
169,1 BR/ 1 Bath Condo w/ Full Kitchen,19.63952,-155.99409,160.00,2011-10-02,Condominium
170,"Oceanfront Condo, Wailua Bay",22.05232,-159.33217,180.00,2011-08-30,Apartment
171,Aloha Crater Lodge and Lavatube,19.42923,-155.22755,60.00,2011-10-05,Apartment
172,Kauai Wind & Waves Vacation Rental,21.96234,-159.70343,250.00,2011-10-05,House
173,"★Waikiki Sunset Apt w/FREE PARKING, Wifi, pool etc",21.27646,-157.82277,146.00,2011-10-06,Condominium
174,"Big 1 bdrm apt. in gorgeous setting, yet so close!",19.77621,-155.09544,98.00,2011-10-13,Guest suite
175,OCEAN FRONT 2b/2ba Amazing Views!,22.226979999999998,-159.48203,295.00,2009-02-16,Condominium
176,Maluhia Guest House Welcomes Large Groups,19.42971,-155.22143,430.00,2011-10-21,House
177,NIHILANI PARADISE AIR CONDITIONED PRINCEVILLE 2A,22.222089999999998,-159.48123,169.00,2011-06-28,Condominium
178,Recently Renovated Beach Condo on Molokai,21.18884,-157.24787,125.00,2011-10-24,House
179,Treetop Mahina Suite,19.6799,-155.97701999999998,245.00,2011-08-06,Bed and breakfast
180,Aloha Falls ~ Sanctuary in Hilo,19.72214,-155.09788999999998,275.00,2011-11-01,House
181,SuperHosts!   Charming Studio all to Yourself!,22.21943,-159.47145,139.00,2011-11-06,Apartment
182,Ocean View Cottage with Separate Suite,21.30803,-157.70762,249.00,2011-11-07,Villa
183,"Wailuku Guesthouse, Garden Ohana",20.88479,-156.49981,269.00,2011-11-12,Apartment
184,"""Surf Suite"", cozy studio apt",20.76504,-156.45756,85.00,2011-12-17,Condominium
